imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt0179220,0.0,0.0,,en,2000-10-20,0.6,8.0,1
tt0179344,0.0,0.0,R,en,2002-05-03,1.104,2.5,2
tt0179400,0.0,0.0,,en,2000-04-14,0.6,0.0,0
tt0179435,0.0,0.0,R,en,2001-01-08,5.149,6.7,10
tt0179443,0.0,0.0,,en,2000-01-21,1.052,3.1,9
tt0179473,4000000.0,0.0,R,en,2000-01-28,3.008,5.4,10
tt0179626,60000000.0,56360000.0,R,en,2001-03-01,7.811,5.9,563
tt0179653,0.0,0.0,,en,2000-03-26,0.6,0.0,0
tt0179803,0.0,0.0,PG,en,2005-12-16,1.25,0.0,0
tt0179861,0.0,0.0,,en,2000-01-01,3.662,3.6,22
tt0180052,100000000.0,7103970.0,PG-13,en,2002-08-15,7.525,4.4,382
tt0180073,13500000.0,7060880.0,,en,2000-11-22,15.7,7.2,494
tt0180093,4500000.0,7390110.0,R,en,2000-10-06,10.381,8.0,8091
tt0180679,0.0,0.0,PG-13,en,2001-01-26,2.651,5.8,10
tt0180683,0.0,0.0,,en,2000-09-25,0.627,0.0,0
tt0180734,32000000.0,40222700.0,PG-13,en,2001-09-14,9.613,6.4,396
tt0181151,60000000.0,0.0,R,en,2000-03-03,8.331,5.5,122
tt0181311,0.0,0.0,,it,2000-05-10,3.592,6.4,30
tt0181536,43000000.0,80049800.0,PG-13,en,2000-12-21,8.025,7.1,874
tt0181594,0.0,0.0,,en,2000-05-14,0.6,7.0,1
tt0181689,102000000.0,358373000.0,PG-13,en,2002-06-20,18.414,7.3,7091
tt0181739,75000000.0,13596900.0,PG,en,2001-08-10,13.117,6.5,840
tt0181836,0.0,0.0,R,en,2000-09-22,4.183,5.3,25
tt0181852,200000000.0,435000000.0,R,en,2003-07-02,36.014,6.1,5413
tt0181865,48000000.0,207516000.0,R,en,2000-03-23,17.35,7.1,1678
tt0181875,60000000.0,47386300.0,NR,en,2000-09-15,16.161,7.5,2154
tt0181945,0.0,0.0,,en,2000-09-15,1.211,0.0,0
tt0181984,7000000.0,28780300.0,R,en,2000-02-18,8.571,6.7,512
tt0182000,13500000.0,794481.0,,en,2001-01-19,6.456,5.8,99
tt0182027,0.0,0.0,,en,2001-10-02,1.653,0.0,0
tt0182295,13000000.0,299792.0,,en,2000-03-31,6.493,5.5,53
tt0182508,0.0,0.0,,en,2000-01-24,3.295,5.9,23
tt0183056,0.0,0.0,,en,2000-10-04,3.036,5.4,15
tt0183113,0.0,0.0,,en,2003-02-19,1.4,1.0,1
tt0183142,0.0,0.0,,en,2001-08-08,1.178,4.4,5
tt0183280,0.0,0.0,R,fr,2000-01-01,2.299,4.6,7
tt0183423,0.0,0.0,,en,2000-06-30,1.4,0.0,0
