tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,id,budget,revenue,certification,original_title,poster_path,tagline,original_language,release_date,popularity,vote_average,vote_count,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt1535108,Elysium,2013.0,109,tt1535108,68724,115000000.0,286141000.0,R,Elysium,/aRjuJuPXHtVs6YegfeeQWXGRs1E.jpg,He can save us all.,en,2013-08-07,32.612,6.5,7490,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,171141000.0,1.4881826086956522
tt1663662,Pacific Rim,2013.0,131,tt1663662,68726,180000000.0,407603000.0,PG-13,Pacific Rim,/mmznhaQDwlHWpUwKuNxtQiubbmM.jpg,"To fight monsters, we created monsters.",en,2013-07-11,118.913,6.8,10544,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,227603000.0,1.264461111111111
tt1924429,Trance,2013.0,101,tt1924429,68727,20000000.0,24261600.0,R,Trance,/3MVYuyVknNA9yC0Gy6z3zDAiWfX.jpg,Don't be a hero.,en,2013-03-27,10.45,6.6,1855,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4261600.0,0.21308
tt1623205,Oz the Great and Powerful,2013.0,130,tt1623205,68728,200000000.0,491869000.0,PG,Oz the Great and Powerful,/7lBgN59T5m1DaC9XcLkHOXdK9ax.jpg,"In Oz, nothing is what it seems.",en,2013-03-07,27.711,5.9,5908,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,291869000.0,1.459345
tt1024648,Argo,2012.0,120,tt1024648,68734,44500000.0,232326000.0,R,Argo,/m5gPWFZFIp4UJFABgWyLkbXv8GX.jpg,The movie was fake. The mission was real.,en,2012-03-22,14.185,7.3,7098,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,187826000.0,4.220808988764045
tt0803096,Warcraft,2016.0,123,tt0803096,68735,160000000.0,433677000.0,PG-13,Warcraft,/nZIIOs06YigBnvmlJ2hxZeA8eTO.jpg,Two worlds. One home.,en,2016-05-25,46.245,6.3,5768,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,273677000.0,1.71048125
tt1121096,Seventh Son,2014.0,102,tt1121096,68737,95000000.0,114179000.0,PG-13,Seventh Son,/7Q8DfXSjcFSSQDOxz1Sk865wNqI.jpg,"When darkness falls, the son will rise. When the son falls, the dark knight will rise.",en,2014-12-12,50.208,5.5,2177,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19179000.0,0.20188421052631578
tt1491044,The Iceman,2012.0,106,tt1491044,68812,20000000.0,1969190.0,R,The Iceman,/56KPE9tPYh2WBdnUMq9EIOwEXGQ.jpg,Loving husband. Devoted father. Ruthless killer.,en,2012-09-01,26.446,6.5,824,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18030810.0,-0.9015405
tt1068242,Footloose,2011.0,113,tt1068242,68817,24000000.0,63543300.0,PG-13,Footloose,/rzTuPCtIBuL4LPJBbNA5RnXDzPZ.jpg,There comes a time to cut loose,en,2011-10-06,15.531,6.6,1409,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39543300.0,1.6476375
tt1462041,Dream House,2011.0,92,tt1462041,69668,50000000.0,38502300.0,PG-13,Dream House,/uQFbnBEYguc6EWYKG0Hgq4LVdc2.jpg,"Once upon a time, there were two little girls who lived in a house.",en,2011-09-29,10.523,6.1,1154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-11497700.0,-0.229954
