tconst,averageRating,numVotes
tt0210362,5.9,289
tt0210382,5.8,9969
tt0210470,6.5,74
tt0210567,5.6,4278
tt0210584,6.2,2467
tt0210616,6.7,22648
tt0210694,7.3,37
tt0210756,6.0,441
tt0210776,6.1,41
tt0210777,7.3,216
tt0210816,4.8,197
tt0210930,5.2,240
tt0210945,7.8,229175
tt0210952,5.8,98
tt0210953,5.5,354
tt0211181,4.8,39292
tt0211266,8.3,14
tt0211279,7.6,22
tt0211296,6.8,33
tt0211309,6.5,489
tt0211373,9.0,12
tt0211387,6.7,6860
tt0211423,7.1,21
tt0211443,4.4,60834
tt0211465,6.1,24708
tt0211492,6.8,4657
tt0211636,7.1,44
tt0211645,8.3,51
tt0211661,6.0,1882
tt0211718,7.3,2964
tt0211915,8.3,786798
tt0211919,6.1,168
tt0211933,6.5,79890
tt0211938,5.7,13095
tt0211941,5.5,1606
tt0211946,7.2,15111
tt0212048,4.4,333
tt0212059,5.0,176
tt0212132,7.3,3264
tt0212142,7.6,111
tt0212215,6.1,270
tt0212271,4.2,237
tt0212292,6.8,227
tt0212294,6.0,142
tt0212298,7.0,109
tt0212338,7.0,351535
tt0212346,6.3,227058
tt0212360,6.4,77
tt0212380,6.2,8946
tt0212495,5.0,279
tt0212604,7.3,1983
tt0212667,3.3,182
tt0212712,7.4,61105
tt0212719,5.9,128
tt0212720,7.2,320337
tt0212742,5.3,1795
tt0212815,7.3,4846
tt0212826,7.0,6019
tt0212827,5.7,701
tt0212830,5.3,6363
tt0212867,4.8,1286
tt0212873,7.8,105
tt0212879,5.9,6111
tt0212881,3.9,116
tt0212910,5.7,1327
tt0212974,6.5,4494
tt0212985,6.8,289728
tt0213113,3.8,78
tt0213127,6.3,68
tt0213149,6.2,348593
tt0213203,6.2,13478
tt0213205,6.0,134
tt0213231,4.9,188
tt0213266,7.5,37
tt0213446,4.9,483
tt0213561,6.3,460
tt0213642,3.3,527
tt0213690,3.6,333
tt0213790,5.2,13711
tt0213802,3.2,1930
tt0213847,7.4,110448
tt0213890,7.0,32892
tt0213985,6.9,2649
tt0214032,5.8,62
tt0214106,4.3,153
tt0214140,8.1,36
tt0214277,5.9,294
tt0214388,5.8,23499
tt0214412,6.1,8
tt0214520,5.7,83
tt0214529,4.4,5139
tt0214548,5.9,69
tt0214619,5.5,141
tt0214638,3.5,340
tt0214646,5.9,160
tt0214723,6.2,85
tt0214728,5.9,700
tt0214757,4.5,510
tt0214871,3.6,1651
tt0214878,6.3,1800
tt0215129,6.5,176481
tt0215135,4.4,3714
tt0215139,6.0,493
tt0215223,5.6,48
tt0215232,4.9,253
tt0215458,5.4,124
tt0215516,6.2,1673
tt0215519,5.6,126
tt0215545,6.6,12198
tt0215679,6.1,508
tt0215681,6.6,4303
tt0215719,7.7,51
tt0215727,4.5,134
tt0215750,7.5,275051
tt0215841,6.4,229
tt0215941,3.4,138
tt0216105,6.3,115
tt0216196,4.2,794
tt0216216,5.9,127034
tt0216250,6.2,56
tt0216256,6.3,95
tt0216279,6.0,550
tt0216290,6.9,38
tt0216417,5.8,2282
tt0216522,5.1,247
tt0216578,6.8,1304
