title,author,scipt date,script type,movie url,script url
Arsenic and Old Lace,"Julius J. Epstein,Philip G. Epstein,Joseph Kesselring",Undated,Draft,https://imsdb.com/Movie%20Scripts/Arsenic%20and%20Old%20Lace%20Script.html,https://imsdb.com/scripts/Arsenic-and-Old-Lace.html
Arthur,Peter Baynham,2009-10,Draft,https://imsdb.com/Movie%20Scripts/Arthur%20Script.html,https://imsdb.com/scripts/Arthur.html
"Artist, The",Michel Hazanavicius,Undated,Draft,https://imsdb.com/Movie%20Scripts/Artist%2C%20The%20Script.html,"https://imsdb.com/scripts/Artist,-The.html"
As Good As It Gets,"Mark Andrus,James L. Brooks",Undated,Draft,https://imsdb.com/Movie%20Scripts/As%20Good%20As%20It%20Gets%20Script.html,https://imsdb.com/scripts/As-Good-As-It-Gets.html
Assassins,"Larry Wachowski,Andy Wachowski",1994-08,Draft,https://imsdb.com/Movie%20Scripts/Assassins%20Script.html,https://imsdb.com/scripts/Assassins.html
"Assignment, The","Dan Gordon,Sabi H. Shabtai",1996-07,Shooting draft,https://imsdb.com/Movie%20Scripts/Assignment%2C%20The%20Script.html,"https://imsdb.com/scripts/Assignment,-The.html"
At First Sight,"Oliver Sacks,Steve Levitt,Irwin Winkler,Rob Cowan",Undated,Draft,https://imsdb.com/Movie%20Scripts/At%20First%20Sight%20Script.html,https://imsdb.com/scripts/At-First-Sight.html
August: Osage County,Tracy Letts,Undated,Draft,https://imsdb.com/Movie%20Scripts/August%3A%20Osage%20County%20Script.html,https://imsdb.com/scripts/August:-Osage-County.html
Austin Powers - International Man of Mystery,Mike Myers,1996-07,Draft,https://imsdb.com/Movie%20Scripts/Austin%20Powers%20-%20International%20Man%20of%20Mystery%20Script.html,https://imsdb.com/scripts/Austin-Powers---International-Man-of-Mystery.html
Austin Powers - The Spy Who Shagged Me,Mike Myers,Undated,Draft,https://imsdb.com/Movie%20Scripts/Austin%20Powers%20-%20The%20Spy%20Who%20Shagged%20Me%20Script.html,https://imsdb.com/scripts/Austin-Powers---The-Spy-Who-Shagged-Me.html
Authors Anonymous,David Congalton,2012-07,Revised draft,https://imsdb.com/Movie%20Scripts/Authors%20Anonymous%20Script.html,https://imsdb.com/scripts/Authors-Anonymous.html
Autumn in New York,Allison Burnett,Undated,Shooting draft,https://imsdb.com/Movie%20Scripts/Autumn%20in%20New%20York%20Script.html,https://imsdb.com/scripts/Autumn-in-New-York.html
Avatar,James Cameron,Undated,Draft,https://imsdb.com/Movie%20Scripts/Avatar%20Script.html,https://imsdb.com/scripts/Avatar.html
"Avengers, The",Don Macpherson,1995-06,Draft,https://imsdb.com/Movie%20Scripts/Avengers%2C%20The%20Script.html,"https://imsdb.com/scripts/Avengers,-The.html"
"Avengers, The (2012)",Joss Whedon,2012,,https://imsdb.com/Movie%20Scripts/Avengers%2C%20The%20%282012%29%20Script.html,"https://imsdb.com/scripts/Avengers,-The-(2012).html"
