tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count,Genre_Name,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Game-Show,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Reality-TV,Genre_Romance,Genre_Sci-Fi,Genre_Short,Genre_Sport,Genre_Talk-Show,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt0159365,Cold Mountain,2003.0,154,tt0159365,79000000.0,173014000.0,R,en,2003-12-24,12.904,6.9,1428,"Romance,Drama,Adventure",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,94014000.0,1.1900506329113925
tt0160009,The Art of War,2000.0,117,tt0160009,40000000.0,30199100.0,R,en,2000-08-25,8.175,5.7,392,"Action,Adventure,Crime",True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-9800900.0,-0.2450225
tt0160127,Charlie's Angels,2000.0,98,tt0160127,92000000.0,264106000.0,PG-13,en,2000-11-02,18.377,5.8,3490,"Comedy,Action,Adventure",True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,172106000.0,1.8707173913043478
tt0160184,Eye See You,2002.0,96,tt0160184,55000000.0,6632380.0,R,en,2002-01-04,9.358,5.6,509,"Crime,Thriller",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-48367620.0,-0.8794112727272727
tt0160399,Impostor,2001.0,95,tt0160399,40000000.0,8694320.0,R,en,2001-12-03,13.843,6.1,325,"Drama,Sci-Fi,Mystery",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,-31305680.0,-0.782642
tt0160484,Lost Souls,2000.0,97,tt0160484,50000000.0,31355900.0,R,en,2000-10-13,7.846,5.1,133,"Drama,Horror,Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,-18644100.0,-0.372882
tt0160797,Rules of Engagement,2000.0,128,tt0160797,60000000.0,71000000.0,R,en,2000-04-07,9.776,6.2,542,"Drama,Thriller,War",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,11000000.0,0.18333333333333332
tt0161081,What Lies Beneath,2000.0,130,tt0161081,100000000.0,291420000.0,PG-13,en,2000-07-21,15.911,6.4,1441,"Drama,Horror,Mystery",False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,191420000.0,1.9142
tt0161083,What's the Worst That Could Happen?,2001.0,94,tt0161083,60000000.0,38400000.0,PG-13,en,2001-05-31,7.522,5.4,235,"Comedy,Crime",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-21600000.0,-0.36
tt0162222,Cast Away,2000.0,143,tt0162222,90000000.0,429632000.0,PG-13,en,2000-12-22,25.231,7.7,9435,"Romance,Drama,Adventure",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,339632000.0,3.773688888888889
tt0162650,Shaft,2000.0,99,tt0162650,46000000.0,107626000.0,R,en,2000-06-15,11.083,6.0,1006,"Action,Crime,Thriller",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,61626000.0,1.339695652173913
tt0162983,Hanging Up,2000.0,94,tt0162983,60000000.0,51880000.0,PG-13,en,2000-02-16,7.672,5.2,139,"Comedy,Drama",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-8120000.0,-0.13533333333333333
tt0163676,The in Crowd,2000.0,105,tt0163676,15000000.0,5217500.0,PG-13,en,2000-07-19,3.564,4.5,41,"Drama,Mystery,Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-9782500.0,-0.6521666666666667
tt0163978,The Beach,2000.0,119,tt0163978,40000000.0,144057000.0,R,en,2000-02-03,10.651,6.5,3635,"Romance,Drama,Adventure",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,104057000.0,2.601425
tt0164052,Hollow Man,2000.0,112,tt0164052,95000000.0,190213000.0,R,en,2000-08-04,20.668,5.9,2017,"Horror,Sci-Fi,Action",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,95213000.0,1.0022421052631578
tt0164184,The Sum of All Fears,2002.0,124,tt0164184,68000000.0,193921000.0,PG-13,en,2002-05-31,13.574,6.3,1346,"Drama,Action,Thriller",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,125921000.0,1.851779411764706
tt0164212,Under Suspicion,2000.0,110,tt0164212,25000000.0,260562.0,R,en,2000-09-24,10.584,6.1,358,"Drama,Crime,Thriller",False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-24739438.0,-0.98957752
tt0164334,Along Came a Spider,2001.0,104,tt0164334,60000000.0,105179000.0,R,en,2001-04-06,13.436,6.3,1438,"Drama,Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,45179000.0,0.7529833333333333
tt0165929,Romeo Must Die,2000.0,115,tt0165929,25000000.0,91036800.0,R,en,2000-03-22,12.106,6.2,921,"Action,Crime,Thriller",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,66036800.0,2.641472
tt0165982,Sinbad: Legend of the Seven Seas,2003.0,88,tt0165982,60000000.0,80767900.0,PG,en,2003-07-02,33.052,6.9,1645,"Comedy,Adventure,Animation",False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20767900.0,0.34613166666666667
tt0166110,Bones,2001.0,96,tt0166110,10000000.0,7316660.0,R,en,2001-10-24,7.774,4.7,116,"Horror,Crime",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-2683340.0,-0.268334
tt0166158,Daddy and Them,2001.0,101,tt0166158,4000000.0,6718.0,R,en,2001-10-26,4.228,5.9,30,"Comedy,Drama",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3993282.0,-0.9983205
tt0166276,Monkeybone,2001.0,93,tt0166276,75000000.0,5409520.0,PG-13,en,2001-02-23,9.082,5.2,255,"Comedy,Fantasy,Animation",False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-69590480.0,-0.9278730666666667
tt0166813,Spirit: Stallion of the Cimarron,2002.0,83,tt0166813,80000000.0,122564000.0,G,en,2002-05-24,85.789,7.7,3828,"Drama,Adventure,Animation",False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42564000.0,0.53205
tt0166924,Mulholland Drive,2001.0,147,tt0166924,15000000.0,20271100.0,R,en,2001-06-06,18.379,7.8,4886,"Drama,Mystery,Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,5271100.0,0.35140666666666664
tt0167190,Hellboy,2004.0,122,tt0167190,66000000.0,99319000.0,PG-13,en,2004-04-02,30.069,6.7,5805,"Fantasy,Action,Adventure",True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33319000.0,0.5048333333333334
tt0167203,I Dreamed of Africa,2000.0,114,tt0167203,34000000.0,14400300.0,PG-13,en,2000-05-05,5.838,5.6,59,"Drama,Biography,Adventure",False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-19599700.0,-0.5764617647058824
tt0167260,The Lord of the Rings: The Return of the King,2003.0,201,tt0167260,94000000.0,1118890000.0,PG-13,en,2003-12-01,85.531,8.5,19534,"Drama,Action,Adventure",True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1024890000.0,10.903085106382978
